turbulence,light,temp,time
0.4000077,0.84799242,29.97255447,1667464774758
0.5063302,0.846515119,29.77436757,1667464775982
0.4482233,0.85435605,29.17949548,1667464777213
0.4261918,0.868522763,29.07920054,1667464778445
0.4574548,0.86011368,29.00867282,1667464779676
0.4353893,0.865681827,30.03965712,1667464780904
0.2826192,0.866704583,30.18029567,1667464782134
0.4428566,0.857045412,29.87186158,1667464783367
0.3811704,0.861893952,29.91785659,1667464784597
0.4525958,0.857310593,29.02189664,1667464785826
0.397148,0.875189364,29.64718739,1667464787052
0.4181426,0.888939381,29.5930963,1667464788278
0.3989803,0.890075743,29.47464585,1667464789504
0.44282,0.894166708,29.62881631,1667464790735
0.424531,0.894280255,29.52190475,1667464791967
0.4108848,0.884924233,29.54131909,1667464793198
0.4257629,0.897348523,29.27210021,1667464794610
0.4280856,0.88287878,29.48138983,1667464795843
0.437732,0.891704559,30.01718742,1667464797071
0.3965227,0.886098444,30.11532406,1667464798301
0.3818677,0.894204557,29.85599405,1667464799531
0.375056,0.892727315,29.53053935,1667464800764
0.3898967,0.884015143,29.90129206,1667464801996
0.3607134,0.877803028,29.07933713,1667464803225
0.3628569,0.890643954,30.05249501,1667464804457
0.3903567,0.891590893,29.00259831,1667464811929
0.4222615,0.89837116,30.10426631,1667464813159
0.3819173,0.897727311,30.1283749,1667464814382
0.389028,0.893712103,29.80428945,1667464815610
0.387446,0.90534085,29.11543125,1667464816838
0.4254226,0.900000036,29.51229844,1667464818067
0.4122484,0.886174262,29.69447069,1667464819471
0.4119265,0.88287878,29.21720074,1667464820703
0.3836479,0.90231055,29.85789475,1667464821932
0.3513121,0.911628783,29.4460711,1667464823158
0.3933151,0.902500033,30.14504132,1667464824386
0.3848683,0.899962127,29.84464383,1667464825614
0.3584966,0.89928025,29.99530479,1667464826847
0.3828021,0.905492425,29.95536,1667464828077
0.3922339,0.894697011,29.74249349,1667464829310
0.3643862,0.887386382,29.48030222,1667464830540
0.3518873,0.900643945,29.22649986,1667464831768
0.3996194,0.893522739,29.28077921,1667464833001
0.4058585,0.885151505,29.93087173,1667464834231
0.3707377,0.894053042,29.58881117,1667464835462
0.4272207,0.885037899,29.96360432,1667464836694
0.3749148,0.898522735,29.22304466,1667464837920
0.4224909,0.894507587,29.08662122,1667464839149
0.438278,0.890265167,30.10276318,1667464840377
0.4332113,0.890416682,29.48769012,1667464841607
0.3821549,0.894924223,30.13487094,1667464842834
0.4256824,0.894393921,29.00911773,1667464844064
0.3871215,0.908257604,29.32110015,1667464845297
0.3709625,0.908030331,30.0952256,1667464846529
0.3903596,0.906439424,29.40008328,1667464847759
0.4141891,0.885151505,29.42098062,1667464848992
0.3299991,0.892348528,29.1848559,1667464853106
0.3571652,0.895265162,29.65660122,1667464854340
0.3659862,0.898787916,30.19337935,1667464855569
0.4237802,0.892234862,29.64263911,1667464856801
0.3857688,0.891363621,29.52960427,1667464858036
0.382316,0.90776515,29.31193647,1667464859270
0.4052875,0.90443182,29.35779563,1667464860502
0.3880135,0.904356062,29.35731947,1667464861735
0.4063311,0.888749957,30.14019535,1667464862971
0.3620696,0.906628788,30.12106068,1667464864202
0.3728112,0.89287883,29.1495259,1667464865432
0.3996112,0.898030281,29.4194155,1667464866660
0.4076199,0.914015114,29.08430432,1667464867889
0.3516174,0.901249945,29.68306603,1667464869121
0.3664592,0.891363621,29.28575368,1667464870356
0.3734054,0.893030286,29.11473193,1667464871590
0.3924682,0.894090891,29.10487986,1667464872823
0.3598696,0.895719647,29.92807995,1667464874055
0.401568,0.899545431,29.25871798,1667464875469
0.3919998,0.89776516,29.26454219,1667464876961
0.4012848,0.893901527,29.55990001,1667464880677
0.4519678,0.886666715,29.27208443,1667464884884
0.3932207,0.912575722,29.10681179,1667464886119
0.3983386,0.895151496,29.5634571,1667464887351
0.3749085,0.909848511,30.15826268,1667464888584
0.418124,0.893257618,30.10692702,1667464889816
0.419911,0.886363626,29.33009886,1667464891051
0.4197564,0.884469688,29.29739958,1667464892283
0.3517387,0.894015133,29.96990701,1667464893518
0.4032632,0.897045434,29.00831656,1667464894752
0.3217896,0.91170454,29.86863694,1667464895987
0.3986734,0.890454531,29.13888825,1667464897219
0.3554796,0.889128745,29.59995428,1667464898450
0.385546,0.90231055,29.1048608,1667464899682
0.3935152,0.900340855,29.9593678,1667464900917
0.360021,0.908106089,29.68114398,1667464902151
0.3774623,0.896136403,29.75125181,1667464903384
0.3934757,0.89624995,29.39062122,1667464904618
0.3767025,0.899356067,29.24607134,1667464905849
0.3932612,0.892840862,30.13140954,1667464907083
0.4232786,0.893484831,29.27075886,1667464908318
0.3988836,0.896893919,30.09547176,1667464909552
0.3779304,0.89287883,29.80867455,1667464910787
0.4042412,0.885151505,29.79260272,1667464912019
0.408403,0.896287918,30.17554566,1667464913247
0.3468849,0.895492435,29.12704914,1667464914482
0.3910668,0.904356062,29.5151067,1667464915716
0.3632428,0.887575746,29.02152501,1667464916947
0.4114229,0.893484831,29.49618399,1667464918177
0.3857691,0.891212106,30.1623844,1667464919410
0.3416571,0.903787911,29.00966586,1667464920640
0.3602234,0.894204557,29.02098851,1667464921877
0.4182797,0.885151505,29.85348887,1667464923103
0.3665715,0.905000031,30.00168133,1667464924336
0.3793043,0.894280255,29.14458264,1667464925572
0.3687762,0.90594697,30.14034629,1667464926805
0.3735559,0.906893909,29.00070191,1667464928037
0.3826997,0.886553049,29.61663264,1667464929270
0.3312743,0.90079546,29.35535506,1667464930500
0.353737,0.889469683,29.19953056,1667464931733
0.3886474,0.894242406,29.3321131,1667464932968
0.3714062,0.891174257,29.88427989,1667464934200
0.3946649,0.90625,29.50933296,1667464935435
0.3843996,0.892954528,30.14286844,1667464936655
0.3716189,0.899242401,29.59349325,1667464937887
0.3642197,0.897954524,29.48519495,1667464939120
0.4079239,0.890795469,29.56325134,1667464940348
0.3347949,0.903901577,29.17888197,1667464941578
0.3823952,0.891174257,29.76902798,1667464942813
0.3847152,0.893068194,29.65061281,1667464944047
0.3407595,0.902651489,29.57475447,1667464945282
0.4047302,0.89075762,29.4555826,1667464946519
0.384852,0.889469683,29.84602942,1667464947749
0.3531584,0.880037844,30.08628312,1667464948978
0.3702729,0.884659052,29.55719209,1667464950210
0.3956335,0.887121201,29.26565752,1667464951445
0.3534655,0.89075762,30.11878748,1667464952679
0.4350937,0.88287878,29.70676571,1667464953914
0.3760023,0.891628742,29.4515582,1667464955144
0.3785052,0.888977289,30.19103534,1667464956379
0.3692805,0.888749957,29.72693532,1667464957613
0.4032341,0.887916684,29.92597019,1667464958846
0.3870954,0.895227313,30.05245405,1667464960074
0.3667207,0.902992427,29.04772538,1667464961307
0.4053524,0.884659052,29.49364591,1667464962537
0.4152377,0.891098499,29.37364883,1667464963771
0.415749,0.884886384,29.37767026,1667464965002
0.3748009,0.885946989,29.30437158,1667464966232
0.3753447,0.887878835,29.08036167,1667464967467
0.4194118,0.888484836,30.15353813,1667464968699
0.3854891,0.888863623,29.14738845,1667464969929
0.342415,0.907045424,29.1838631,1667464971160
0.4064876,0.877803028,29.59640005,1667464972394
0.3636182,0.888977289,29.98688748,1667464973629
0.3400911,0.890909135,29.63351715,1667464974861
0.384715,0.876363635,29.16351395,1667464976094
0.3821018,0.90564394,29.87822446,1667464977328
0.3907853,0.886249959,29.7866383,1667464978561
0.4003516,0.887234867,29.75087547,1667464979797
0.4576845,0.901818216,29.23796134,1667464981026
0.399796,0.887197018,29.78351127,1667464982260
0.3492156,0.896136403,29.00519741,1667464983495
0.3920315,0.89166671,29.17997124,1667464984727
0.4714278,0.889166713,29.60341592,1667464985955
0.4108565,0.888598442,29.38766005,1667464987188
0.4106898,0.883333325,29.22817897,1667464988423
0.413184,0.888030291,29.50465363,1667464989656
0.3864976,0.896287918,30.01772083,1667464990892
0.4042426,0.891363621,29.17037644,1667464992127
0.3677313,0.895568192,29.16727338,1667464993361
0.4590822,0.880946994,29.2797336,1667464994594
0.3556025,0.887272716,29.9279789,1667464995828
0.416951,0.893825769,29.74153125,1667464997061
0.3282402,0.885833323,29.77239462,1667464998291
0.4210371,0.905303001,29.11378702,1667464999528
0.3897364,0.897197008,29.17483858,1667465000758
0.3614754,0.892575741,29.41533055,1667465001989
0.3686435,0.901287913,29.69460343,1667465003223
0.4243309,0.913371265,29.82779942,1667465004456
0.3591866,0.903333306,29.48916886,1667465005686
0.4107218,0.888825774,29.18405533,1667465006921
0.3527406,0.905984819,29.79677007,1667465008153
0.3968292,0.886439383,29.79924347,1667465009386
0.4075637,0.884621203,29.1480709,1667465010616
0.3723638,0.899053037,29.13668911,1667465011846
0.3844074,0.89075762,29.170306,1667465013079
0.3804543,0.899431825,29.05951543,1667465014307
0.3838995,0.904204547,29.29263407,1667465015539
0.4646188,0.901856065,29.3651606,1667465016774
0.393494,0.903674245,29.50876377,1667465018001
0.4368128,0.890719652,29.11337651,1667465019235
0.3871579,0.889204562,29.96070347,1667465020470
0.3181619,0.885946989,29.98907342,1667465021702
0.3850585,0.896893919,29.19924375,1667465022937
0.3901823,0.872651517,29.54158682,1667465024171
0.3707455,0.884810567,29.34855555,1667465025406
0.3467531,0.906704545,29.16262637,1667465026634
0.4137099,0.902197003,29.29930069,1667465027867
0.3857148,0.894810557,29.93293992,1667465029101
0.4299825,0.894507587,29.76970349,1667465030334
0.3872879,0.873749971,30.07327559,1667465031570
0.358438,0.897424221,29.37657804,1667465032805
0.432823,0.899734855,29.58262352,1667465034040
0.4545138,0.892689347,29.67359947,1667465035272
0.3994504,0.896969736,30.12682356,1667465036502
