acc_x,acc_y,acc_z,acc_g,gyro_pitch,gyro_yaw,gyro_roll,light,temp,time
0.441295177,-0.129693598,0.985690951,1.08450675,14.33441162,19.85961914,9.613342285,0.84799242,29.97255447,1667464774758
0.479136974,-0.295892328,0.960361362,1.118525147,11.76330566,-44.68505859,89.15740967,0.846515119,29.77436757,1667464775982
0.413035899,-0.148431391,0.979770541,1.075030327,-23.29376221,-17.54730225,-66.49749756,0.85435605,29.17949548,1667464777213
0.363597423,-0.101495363,0.894565463,0.970954061,13.57147217,9.727783203,-94.19219971,0.868522763,29.07920054,1667464778445
0.366710216,-0.13848266,1.014377475,1.089269161,-6.81427002,-25.57342529,-93.07067871,0.86011368,29.00867282,1667464779676
0.393809825,-0.066949464,0.900852084,0.985445499,1.440734863,65.75042725,-58.92913818,0.865681827,30.03965712,1667464780904
0.244517833,-0.059930421,0.726047397,0.768456578,-1.099853516,23.17077637,-8.018188477,0.866704583,30.18029567,1667464782134
0.396617442,-0.097650148,0.953464389,1.038321137,28.01391602,-62.31658936,27.07702637,0.857045412,29.87186158,1667464783367
0.354503185,-0.119866945,0.914584994,0.98818332,37.13104248,-0.320129335,14.93865967,0.861893952,29.91785659,1667464784597
0.484752208,-0.117730714,1.023898959,1.13895309,-46.12091064,20.01983643,35.6829834,0.857310593,29.02189664,1667464785826
0.359141856,-0.103387453,0.894504428,0.969438016,53.48846436,26.1920166,1.961059809,0.875189364,29.64718739,1667464787052
0.393321544,-0.121759035,0.886142612,0.97712636,-4.006652832,67.4899292,27.26013184,0.888939381,29.5930963,1667464788278
0.390269786,-0.129632562,0.972690463,1.060648441,-15.66436672,20.82092285,17.56317139,0.890075743,29.47464585,1667464789504
0.406322032,-0.096307375,0.943027377,1.027110577,45.92010498,-44.16625977,-27.64862061,0.894166708,29.62881631,1667464790735
0.416575938,-0.103814699,0.993259311,1.088383436,-61.79168701,3.052062988,-17.6083374,0.894280255,29.52190475,1667464791967
0.443126231,-0.131158441,0.976169467,1.078533769,-1.176147461,19.5010376,-37.95593262,0.884924233,29.54131909,1667464793198
0.432445079,-0.176629633,0.906162143,1.019478679,-43.48114014,-11.60400391,28.63342285,0.897348523,29.27210021,1667464794610
0.34699586,-0.156060785,0.943088412,1.016944885,78.10089111,18.75335693,-2.227477789,0.88287878,29.48138983,1667464795843
0.413219005,-0.05730591,0.939304233,1.021528721,58.21868896,-51.58966064,-7.964782238,0.891704559,30.01718742,1667464797071
0.354381114,-0.077752687,0.876376987,0.947575867,-26.34552002,55.29815674,11.87927246,0.886098444,30.11532406,1667464798301
0.333568126,-0.092950441,0.947238803,1.013667107,8.688659668,-44.58587646,-0.602416694,0.894204557,29.85599405,1667464799531
0.421824962,-0.050225832,0.945407748,1.037451506,6.445617676,-29.28131104,-1.701049566,0.892727315,29.53053935,1667464800764
0.404368907,-0.079644777,0.98697269,1.069566607,16.61560059,11.87164307,-18.00506592,0.884015143,29.90129206,1667464801996
0.358043224,-0.045159914,0.912204623,0.981252015,-6.47857666,-20.10314941,-14.51843262,0.877803028,29.07933713,1667464803225
0.329844981,-0.077569582,0.875522494,0.936873972,-30.22888184,1.274414182,-26.13037109,0.890643954,30.05249501,1667464804457
0.357371837,-0.078607179,0.960788608,1.028109193,12.38891602,34.51568604,-13.52661133,0.891590893,29.00259831,1667464811929
0.45246461,-0.080072023,1.019687533,1.118435621,29.95941162,-19.84375,-26.38977051,0.89837116,30.10426631,1667464813159
0.431285411,-0.071588136,0.998752475,1.092710972,-7.28729248,5.043335438,-18.5925293,0.897727311,30.1283749,1667464814382
0.334666759,-0.102227785,0.90896976,0.974001229,13.9453125,-21.49932861,-37.15484619,0.893712103,29.80428945,1667464815610
0.372386485,-0.057916261,0.919956088,0.99619633,-18.06762695,4.806824207,-42.94555664,0.90534085,29.11543125,1667464816838
0.404185802,-0.041436769,0.944797397,1.028457761,8.955688477,-51.98638916,-44.8147583,0.900000036,29.51229844,1667464818067
0.368052989,-0.074212648,0.906162143,0.980867147,-17.56408691,62.87414551,-19.72167969,0.886174262,29.69447069,1667464819471
0.373546153,-0.051141359,0.946872592,1.019176126,26.47277832,-56.50299072,9.170837402,0.88287878,29.21720074,1667464820703
0.412120372,-0.06524048,0.970126987,1.049158812,-3.495483398,37.04864502,2.304382563,0.90231055,29.85789475,1667464821932
0.346080333,-0.046807863,0.882175326,0.948786497,-2.89276123,33.13476563,6.332703114,0.911628783,29.4460711,1667464823158
0.358653575,-0.085504152,0.926303744,0.990388095,31.61498833,20.3326416,-18.67645264,0.902500033,30.14504132,1667464824386
0.388865978,-0.064691164,0.970310092,1.047331572,-13.5357666,-31.18103027,-3.921203375,0.899962127,29.84464383,1667464825614
0.367076427,-0.054559328,0.919101596,0.991196036,8.200378418,-1.731567264,-22.02575684,0.89928025,29.99530479,1667464826847
0.353099376,-0.058526613,0.966892123,1.031011581,6.209106445,-17.95166016,-30.03662109,0.905492425,29.95536,1667464828077
0.33918336,-0.085260011,0.91098392,0.981561601,-24.14825439,-45.92102051,-7.087401867,0.894697011,29.74249349,1667464829310
0.421947032,-0.0458313,0.929355502,1.021736026,-19.44091797,-7.789306164,0.412292778,0.887386382,29.48030222,1667464830540
0.384715587,-0.053826906,0.986362338,1.060101032,5.102844238,-1.586608768,-0.205688179,0.900643945,29.22649986,1667464831768
0.395823985,-0.078057863,1.025974154,1.102448463,-37.60650635,6.996460438,13.61877441,0.893522739,29.28077921,1667464833001
0.323070079,-0.118463136,0.916965365,0.979404569,61.44592285,-20.6829834,-8.430175781,0.885151505,29.93087173,1667464834231
0.38392213,-0.049066164,0.920383334,0.998453379,-11.07910156,-24.94781494,-7.774047375,0.894053042,29.58881117,1667464835462
0.36426881,-0.091302492,0.996433139,1.064850569,10.0390625,-58.82995605,-28.0682373,0.885037899,29.96360432,1667464836694
0.329783946,-0.05553589,0.822482944,0.896099806,-68.45214844,8.96484375,-16.27319336,0.898522735,29.22304466,1667464837920
0.37208131,-0.076470949,0.948642612,1.021868467,3.60748291,-55.71716309,-41.51885986,0.894507587,29.08662122,1667464839149
0.398204356,-0.061761476,0.900852084,0.980732024,28.30383301,63.61419678,-38.83331299,0.890265167,30.10276318,1667464840377
0.349620372,-0.08287964,0.957675815,1.015757322,31.75231743,58.9755249,-24.88677979,0.890416682,29.48769012,1667464841607
0.361461192,-0.062066652,0.970126987,1.044039845,3.638000488,-46.18804932,-0.83129853,0.894924223,30.13487094,1667464842834
0.461070567,-0.066583253,0.990512729,1.093746781,45.24108887,-18.77563477,-19.07318115,0.894393921,29.00911773,1667464844064
0.457957774,-0.073358156,1.025424838,1.125434518,-4.159240723,9.094543457,-18.88244629,0.908257604,29.32110015,1667464845297
0.361949474,-0.04784546,0.916232944,0.986295819,-0.390319824,33.77563477,-17.02850342,0.908030331,30.0952256,1667464846529
0.341624767,-0.052911378,0.868930697,0.935172558,10.71044922,-58.75366211,-26.63391113,0.906439424,29.40008328,1667464847759
0.454906017,-0.090325929,1.070834994,1.166955829,-18.51013184,-27.92327881,-17.30316162,0.885151505,29.42098062,1667464848992
0.322337657,-0.044244386,0.863925815,0.923161387,-2.206115723,18.84490967,-7.087401867,0.892348528,29.1848559,1667464853106
0.350108653,-0.07518921,0.95572269,1.020605326,5.24017334,-10.37567139,-5.828551769,0.895265162,29.65660122,1667464854340
0.321116954,-0.046197511,0.830173373,0.882163465,44.0737915,-5.302123547,-37.42950439,0.898787916,30.19337935,1667464855569
0.368663341,-0.102777101,0.912143588,0.997102499,-49.32525635,-54.14550781,1.968689203,0.892234862,29.64263911,1667464856801
0.386668712,-0.091912843,0.989902377,1.066708684,-10.23223877,14.11468506,-17.39471436,0.891363621,29.52960427,1667464858036
0.359569103,-0.079034425,0.958408237,1.026685357,-0.550537109,31.29608154,-18.40942383,0.90776515,29.31193647,1667464859270
0.394969493,-0.079278566,0.964816928,1.045541883,39.01550293,-5.736999035,-26.87805176,0.90443182,29.35779563,1667464860502
0.412608653,-0.079644777,1.010898471,1.094762444,-0.718383789,-37.11669922,-2.456359625,0.904356062,29.35731947,1667464861735
0.474681407,-0.07506714,1.027927279,1.13472116,27.67059326,-12.66448975,-12.68737793,0.888749957,30.14019535,1667464862971
0.35480836,-0.043206789,0.893955112,0.962762475,-45.94543457,0.633544981,3.776855707,0.906628788,30.12106068,1667464864202
0.440135509,-0.074761964,1.016025424,1.1097821,-0.375061035,2.884216309,-13.80126953,0.89287883,29.1495259,1667464865432
0.387462169,-0.07506714,0.95773685,1.029172897,24.93164063,20.59204102,-22.33856201,0.898030281,29.4194155,1667464866660
0.41505006,-0.072686769,0.947971225,1.037400365,-8.828430176,52.26165771,-14.08355713,0.914015114,29.08430432,1667464867889
0.305003673,-0.072137453,0.873569369,0.931766808,3.531188965,-27.64099121,-19.01977539,0.901249945,29.68306603,1667464869121
0.392344981,-0.074273683,0.967380404,1.046554327,0.639648438,-9.429626465,-13.54949951,0.891363621,29.28575368,1667464870356
0.407664806,-0.06713257,0.982334018,1.067016363,-1.977233887,12.97790527,-13.25195313,0.893030286,29.11473193,1667464871590
0.381846935,-0.099481203,0.995578647,1.070924997,25.98449707,5.241699696,-17.44049072,0.894090891,29.10487986,1667464872823
0.334178478,-0.063409425,0.880222201,0.943656266,15.05157471,-32.61535645,-5.904845715,0.895719647,29.92807995,1667464874055
0.406199962,-0.071343996,0.949680209,1.035140991,26.48040771,30.35003662,-12.24487305,0.899545431,29.25871798,1667464875469
0.440135509,-0.066400148,0.943271518,1.043019414,4.744262695,35.33966064,-12.8704834,0.89776516,29.26454219,1667464876961
0.450389415,-0.072198488,1.046481967,1.141572475,-26.34552002,12.74902344,-12.45849609,0.893901527,29.55990001,1667464880677
0.400767833,-0.073114015,0.941501498,1.026501417,58.42468262,-33.67584229,-42.60986328,0.886666715,29.27208443,1667464884884
0.402415782,-0.078363039,1.00259769,1.083181143,18.52294922,-4.035644054,-26.35925293,0.912575722,29.10681179,1667464886119
0.350352794,-0.066705324,0.922153354,0.988718092,-46.01409912,-32.89764404,3.96759057,0.895151496,29.5634571,1667464887351
0.32947877,-0.105279543,0.888584018,0.955669999,39.09942627,-5.904845715,-17.15820313,0.909848511,30.15826268,1667464888584
0.457591563,-0.080682375,1.045993686,1.144553423,-16.6104126,-50.30792236,-3.028564215,0.893257618,30.10692702,1667464889816
0.392406017,-0.067437746,0.976596713,1.051037669,23.0090332,-54.19891357,-13.32061768,0.886363626,29.33009886,1667464891051
0.483653575,-0.081475832,1.051425815,1.16317749,-15.64147854,-39.53521729,-11.99310303,0.884469688,29.29739958,1667464892283
0.332652599,-0.056512453,0.911350131,0.971807837,-24.58312988,-8.201293945,-1.38824439,0.894015133,29.96990701,1667464893518
0.441539317,-0.064630128,0.995273471,1.090735197,35.31524658,-1.891784549,-20.64483643,0.897045434,29.00831656,1667464894752
0.276805431,-0.072015382,0.816013217,0.859033644,27.97576904,-0.358276308,-12.82470703,0.91170454,29.86863694,1667464895987
0.44630006,-0.074212648,1.007602572,1.099494934,9.016723633,18.55499268,-21.06445313,0.890454531,29.13888825,1667464897219
0.373851329,-0.054437257,0.921054721,0.989445508,1.73828125,-2.807312012,-22.37670898,0.889128745,29.59995428,1667464898450
0.424388438,-0.068902589,1.027927279,1.114220619,-10.10253906,-10.78765869,-16.10534668,0.90231055,29.1048608,1667464899682
0.390635997,-0.06347046,0.964633822,1.052333951,-12.64312744,-42.60223389,-5.210570812,0.900340855,29.9593678,1667464900917
0.38581422,-0.076226808,0.943149447,1.021858096,-5.547790527,11.15447998,-3.989867926,0.908106089,29.68114398,1667464902151
0.315013438,-0.056756593,0.843418002,0.902113438,33.30871582,-52.84851074,-8.330993652,0.896136403,29.75125181,1667464903384
0.397899181,-0.057061769,0.960910678,1.041599274,-32.28881836,21.80511475,6.828613758,0.89624995,29.39062122,1667464904618
0.405101329,-0.053216554,0.963291049,1.046359777,17.72949219,-6.515197277,-14.51080322,0.899356067,29.24607134,1667464905849
0.421763927,-0.076654054,0.970310092,1.057762742,24.37469482,-5.859069347,-20.90423584,0.892840862,30.13140954,1667464907083
0.396617442,-0.090325929,0.995517612,1.075415969,-9.103088379,56.06109619,-21.32385254,0.893484831,29.27075886,1667464908318
0.331920177,-0.071588136,0.890842319,0.956073105,15.63903904,-53.55041504,-28.32763672,0.896893919,30.09547176,1667464909552
0.418529063,-0.064752199,0.938938022,1.030031085,-19.20440674,3.746337891,-17.24212646,0.89287883,29.80867455,1667464910787
0.37989381,-0.052178957,0.972202182,1.045092821,39.93865967,-3.2421875,-33.39355469,0.885151505,29.79260272,1667464912019
0.376475841,-0.077691652,0.900058627,0.978711188,-53.10180664,-28.08349609,13.47381592,0.896287918,30.17554566,1667464913247
0.354503185,-0.048822023,0.901767612,0.974194467,-1.878051758,21.46179199,-3.463439703,0.895492435,29.12704914,1667464914482
0.37824586,-0.07897339,0.945285678,1.021210909,26.01501465,-26.44317627,-7.835082531,0.904356062,29.5151067,1667464915716
0.362437755,-0.08654175,0.934360385,1.005922437,10.52734375,-7.61383009,-10.54351807,0.887575746,29.02152501,1667464916947
0.446788341,-0.082269289,1.008579135,1.106173515,6.865234375,40.96252441,-15.33477783,0.893484831,29.49618399,1667464918177
0.345408946,-0.091790773,0.933200717,0.999297976,20.4989624,17.43347168,-21.59088135,0.891212106,30.1623844,1667464919410
0.338389903,-0.039605714,0.870883822,0.935155094,-8.553771973,-19.24102783,-9.566955566,0.903787911,29.00966586,1667464920640
0.358775645,-0.050103761,0.892246127,0.962981582,-30.8392334,13.29071045,-2.212219,0.894204557,29.02098851,1667464921877
0.47565797,-0.133172601,1.096042514,1.202204108,-0.832824707,32.28027344,-24.32983398,0.885151505,29.85348887,1667464923103
0.303233653,-0.070428468,0.865634799,0.930098593,-27.49755859,-29.70855713,-14.18273926,0.905000031,30.00168133,1667464924336
0.332408458,-0.05162964,0.893772006,0.961316586,3.470153809,-53.63433838,-17.77618408,0.894280255,29.14458264,1667464925572
0.34510377,-0.053155519,0.842197299,0.917075992,-10.11779785,-54.46594238,-11.71844482,0.90594697,30.14034629,1667464926805
