turbulence,light,temp,time
0.2437269,0.817424238,29.4652143,1667467152741
0.3040533,0.896212101,30.18983795,1667467153990
0.2815196,0.774621248,29.50981441,1667467155235
0.3132066,0.774356067,29.35907697,1667467156484
0.3099325,0.76727277,29.5597597,1667467157733
0.2935761,0.780454576,29.97287479,1667467158978
0.0026807,0.896136403,32.57772064,1667544383069
0.0025815,0.895909131,32.57369232,1667544384316
0.0027708,0.894053042,32.49272919,1667544385564
0.0025749,0.888787925,32.56960297,1667544386811
0.0034615,0.861742437,32.48464203,1667544388054
0.0679051,0.837916672,32.35131073,1667544389303
0.0029905,0.746022701,32.4401474,1667544390550
0.003424,0.829734862,32.37151337,1667544391793
0.0102186,0.793106079,32.44823456,1667544393032
0.0037451,0.788371205,32.43206024,1667544394273
0.0140056,0.78246212,32.4401474,1667544395520
0.0961619,0.850871205,32.47655487,1667544396757
0.0014153,0.803674221,32.47249603,1667544398010
0.2019354,0.888939381,32.28676605,1667544399255
0.0113874,0.879053056,32.44420624,1667544400504
0.0125489,0.802840889,32.5089035,1667544401752
0.0065987,0.849242449,32.54128265,1667544402988
0.0069111,0.814545453,32.54534149,1667544404233
0.0109427,0.856401503,32.55342865,1667544405476
0.1286639,0.927992463,32.58986664,1667544406723
0.0894196,0.922424197,32.5089035,1667544407973
0.0737433,0.913939416,32.48055267,1667544409218
0.0685589,0.911363602,32.43608856,1667544410463
0.050172,0.903295457,32.29885101,1667544411714
0.0319662,0.899015129,32.12575531,1667544412963
0.0362225,0.901249945,32.18608856,1667544414214
0.0543024,0.896325767,31.84499359,1667544415465
0.0842998,0.914242387,32.09358978,1667544416714
0.263512,0.906590939,32.0694809,1667544417964
0.1063674,0.940492451,32.08556366,1667544419207
0.0893842,0.918143928,32.09358978,1667544420452
0.2212458,0.923181832,31.94512177,1667544421697
0.0818409,0.916931868,31.796989439999997,1667544422942
0.0452323,0.898333311,31.645225519999997,1667544424189
0.13975,0.905000031,31.366691590000002,1667544425436
0.0312108,0.902197003,31.47396088,1667544426681
0.0412241,0.885227323,31.4302597,1667544427926
0.0630462,0.878295481,31.34288788,1667544429173
0.0509729,0.877575755,31.30718231,1667544430418
0.056658,0.888977289,31.605400090000003,1667544431665
0.061765,0.874204576,31.55358124,1667544432915
0.0987983,0.851477265,31.921073909999997,1667544434166
0.0910736,0.835454524,32.00127411,1667544435411
0.0946093,0.887045443,32.02132416,1667544436656
0.0996067,0.870833337,32.00527191,1667544437901
0.0881064,0.84829545,32.04134369,1667544439144
0.0967101,0.82128787,32.05342865,1667544440387
0.0900995,0.803825796,32.05742645,1667544441634
0.0998514,0.814242423,32.05742645,1667544442885
0.1073147,0.845530331,31.99324799,1667544444138
0.1348367,0.853863657,32.04540253,1667544445387
0.1538498,0.85708338,32.06545258,1667544446636
0.0787929,0.872954547,32.09758759,1667544447883
0.0591346,0.854545414,32.0694809,1667544449131
0.0579964,0.846439421,32.06145477,1667544450378
0.0445795,0.839356065,32.06545258,1667544451625
0.0735222,0.848749995,32.0694809,1667544452870
0.0612707,0.845984817,32.0734787,1667544454113
0.066532,0.852310598,32.07753754,1667544455360
0.0728682,0.855492413,32.08556366,1667544456607
0.0754143,0.863295496,32.09358978,1667544457854
0.0574666,0.850946963,32.08556366,1667544459103
0.0541053,0.856818199,32.10164642,1667544460353
0.0790016,0.84496212,32.08956146,1667544461600
0.0546126,0.846060634,32.11367035,1667544462845
0.0642758,0.85253787,32.11367035,1667544464092
0.0561858,0.871628761,32.12175751,1667544465333
0.1270894,0.890984833,32.08556366,1667544466584
0.0507523,0.88560605,31.89702606,1667544467829
0.0604866,0.877613664,31.72905731,1667544469072
0.014472,0.875833333,31.80898285,1667544470317
0.0514531,0.878257632,31.888999939999998,1667544471566
0.1041122,0.889583349,31.873008730000002,1667544472810
0.0969999,0.890530288,31.933097840000002,1667544474055
0.0954382,0.899962127,31.973167420000003,1667544475302
0.095796,0.902386367,31.89302826,1667544476547
0.0489028,0.902272701,31.89702606,1667544477792
0.0318399,0.85041666,31.81697845,1667544479035
0.1150176,0.878257632,31.82900238,1667544480276
0.4060378,0.927234828,31.72505951,1667544481523
0.3721261,0.920871258,31.745018010000003,1667544482766
0.3574432,0.936553061,31.701072689999997,1667544484003
0.1731122,0.956439376,31.69710541,1667544485250
0.2618028,0.953257561,31.757011409999997,1667544486499
0.1686295,0.937272727,31.80101776,1667544487746
0.0713859,0.953257561,31.72905731,1667544488997
0.0775567,0.959469676,31.737052919999996,1667544490242
0.2190606,0.941780329,31.77700043,1667544491489
0.1247407,0.948030293,31.745018010000003,1667544492737
0.1448604,0.944318175,31.737052919999996,1667544493984
0.1707116,0.944583356,31.72505951,1667544495229
0.1926402,0.937045515,31.68914032,1667544496476
0.0869331,0.940075815,31.7170639,1667544497721
0.0737075,0.951515198,31.737052919999996,1667544498964
0.0502459,0.964015186,31.768974300000004,1667544500209
0.0002437,0.901212096,32.54936981,1667544532853
0.0002588,0.901136398,32.58986664,1667544534107
0.0002146,0.901287913,32.63039398,1667544535343
0.0003888,0.901174247,32.66286469,1667544536585
0.0002752,0.901212096,32.71154022,1667544537826
0.0002153,0.901742399,32.74810028,1667544539064
0.0005084,0.904621184,32.78871918,1667544540310
0.0866533,0.89776516,32.82128143,1667544541549
0.0540175,0.939204574,32.81719208,1667544542785
0.2905846,0.905757606,32.86605072,1667544544030
0.3177663,0.91901511,32.76436615,1667544545273
0.326426,0.933181822,32.76027679,1667544546516
0.3219501,0.932196975,32.78871918,1667544547759
0.3352235,0.927878797,32.72371674,1667544548999
0.3234674,0.921590924,32.84160614,1667544550241
0.3361383,0.924962163,32.86199188,1667544551480
0.336711,0.930000007,32.84975433,1667544552727
0.3304092,0.925946951,32.81719208,1667544553970
0.3273383,0.922348499,32.83345795,1667544555217
0.3225644,0.921060622,32.82537079,1667544556464
0.3326224,0.91655302,32.74810028,1667544557703
0.3448712,0.911325753,32.74810028,1667544558948
0.3395582,0.92750001,32.79686737,1667544560193
0.3451413,0.930378795,32.82128143,1667544561434
0.3616255,0.9284091,32.82128143,1667544562679
0.3664,0.919810653,32.85381317,1667544563907
0.3394606,0.912234843,32.86605072,1667544565144
0.3357707,0.933143973,32.89864349,1667544566384
0.344502,0.935113668,32.91490936,1667544567627
0.3105107,0.936136365,32.82128143,1667544568864
0.5297286,0.921590924,32.89455414,1667544570105
0.3931326,0.930303037,32.93123627,1667544571342
0.3815133,0.92204541,32.95162201,1667544572582
0.4036635,0.928295434,32.95568085,1667544573821
0.3859239,0.930378795,33.0331955,1667544575062
0.3637482,0.926628768,33.01277924,1667544576303
0.3612073,0.923977256,33.04949188,1667544577544
0.3754778,0.93265152,33.06993866,1667544578793
0.4065818,0.914696991,33.1026535,1667544580028
0.4070605,0.938257575,33.12715912,1667544581269
0.374658,0.922765136,33.13124847,1667544582510
0.3712706,0.918939412,33.15987396,1667544583753
0.3626197,0.924962163,33.1762619,1667544584992
0.3768467,0.90109849,33.15987396,1667544586230
0.0982149,0.954583347,33.18035126,1667544587467
0.0548784,0.890416682,33.21721649,1667544588716
0.0351757,0.888636351,33.13124847,1667544589963
0.0140934,0.86742425,33.2253952,1667544591213
0.0330808,0.87590909,33.25408173,1667544592451
0.0607731,0.890946984,33.27864838,1667544593701
0.1304543,0.87227273,33.35659027,1667544594941
