_id,acc,gyro,light,temp,time
63637e543e44d1acc3f919de,"[0.441295177,-0.129693598,0.985690951,1.08450675]","[14.33441162,19.85961914,9.613342285]",0.84799242,null,1667464774758
63637e543e44d1acc3f919df,"[0.479136974,-0.295892328,0.960361362,1.118525147]","[11.76330566,-44.68505859,89.15740967]",0.846515119,null,1667464775982
63637e543e44d1acc3f919e0,"[0.413035899,-0.148431391,0.979770541,1.075030327]","[-23.29376221,-17.54730225,-66.49749756]",0.85435605,null,1667464777213
63637e543e44d1acc3f919e1,"[0.363597423,-0.101495363,0.894565463,0.970954061]","[13.57147217,9.727783203,-94.19219971]",0.868522763,null,1667464778445
63637e543e44d1acc3f919e2,"[0.366710216,-0.13848266,1.014377475,1.089269161]","[-6.81427002,-25.57342529,-93.07067871]",0.86011368,null,1667464779676
63637e543e44d1acc3f919e3,"[0.393809825,-0.066949464,0.900852084,0.985445499]","[1.440734863,65.75042725,-58.92913818]",0.865681827,null,1667464780904
63637e543e44d1acc3f919e4,"[0.244517833,-0.059930421,0.726047397,0.768456578]","[-1.099853516,23.17077637,-8.018188477]",0.866704583,null,1667464782134
63637e543e44d1acc3f919e5,"[0.396617442,-0.097650148,0.953464389,1.038321137]","[28.01391602,-62.31658936,27.07702637]",0.857045412,null,1667464783367
63637e543e44d1acc3f919e6,"[0.354503185,-0.119866945,0.914584994,0.98818332]","[37.13104248,-0.320129335,14.93865967]",0.861893952,null,1667464784597
63637e543e44d1acc3f919e7,"[0.484752208,-0.117730714,1.023898959,1.13895309]","[-46.12091064,20.01983643,35.6829834]",0.857310593,null,1667464785826
63637e543e44d1acc3f919e8,"[0.359141856,-0.103387453,0.894504428,0.969438016]","[53.48846436,26.1920166,1.961059809]",0.875189364,null,1667464787052
63637e623e44d1acc3f919e9,"[0.393321544,-0.121759035,0.886142612,0.97712636]","[-4.006652832,67.4899292,27.26013184]",0.888939381,null,1667464788278
63637e623e44d1acc3f919ea,"[0.390269786,-0.129632562,0.972690463,1.060648441]","[-15.66436672,20.82092285,17.56317139]",0.890075743,null,1667464789504
63637e623e44d1acc3f919eb,"[0.406322032,-0.096307375,0.943027377,1.027110577]","[45.92010498,-44.16625977,-27.64862061]",0.894166708,null,1667464790735
63637e623e44d1acc3f919ee,"[0.416575938,-0.103814699,0.993259311,1.088383436]","[-61.79168701,3.052062988,-17.6083374]",0.894280255,null,1667464791967
63637e623e44d1acc3f919ec,"[0.443126231,-0.131158441,0.976169467,1.078533769]","[-1.176147461,19.5010376,-37.95593262]",0.884924233,null,1667464793198
63637e623e44d1acc3f919ed,"[0.432445079,-0.176629633,0.906162143,1.019478679]","[-43.48114014,-11.60400391,28.63342285]",0.897348523,null,1667464794610
63637e623e44d1acc3f919ef,"[0.34699586,-0.156060785,0.943088412,1.016944885]","[78.10089111,18.75335693,-2.227477789]",0.88287878,null,1667464795843
63637e623e44d1acc3f919f0,"[0.413219005,-0.05730591,0.939304233,1.021528721]","[58.21868896,-51.58966064,-7.964782238]",0.891704559,null,1667464797071
63637e623e44d1acc3f919f1,"[0.354381114,-0.077752687,0.876376987,0.947575867]","[-26.34552002,55.29815674,11.87927246]",0.886098444,null,1667464798301
63637e623e44d1acc3f919f2,"[0.333568126,-0.092950441,0.947238803,1.013667107]","[8.688659668,-44.58587646,-0.602416694]",0.894204557,null,1667464799531
63637e623e44d1acc3f919f3,"[0.421824962,-0.050225832,0.945407748,1.037451506]","[6.445617676,-29.28131104,-1.701049566]",0.892727315,null,1667464800764
63637e763e44d1acc3f919f4,"[0.404368907,-0.079644777,0.98697269,1.069566607]","[16.61560059,11.87164307,-18.00506592]",0.884015143,null,1667464801996
63637e763e44d1acc3f919f5,"[0.358043224,-0.045159914,0.912204623,0.981252015]","[-6.47857666,-20.10314941,-14.51843262]",0.877803028,null,1667464803225
63637e763e44d1acc3f919f6,"[0.329844981,-0.077569582,0.875522494,0.936873972]","[-30.22888184,1.274414182,-26.13037109]",0.890643954,null,1667464804457
63637e763e44d1acc3f919f7,"[0.357371837,-0.078607179,0.960788608,1.028109193]","[12.38891602,34.51568604,-13.52661133]",0.891590893,null,1667464811929
63637e763e44d1acc3f919f8,"[0.45246461,-0.080072023,1.019687533,1.118435621]","[29.95941162,-19.84375,-26.38977051]",0.89837116,null,1667464813159
63637e763e44d1acc3f919f9,"[0.431285411,-0.071588136,0.998752475,1.092710972]","[-7.28729248,5.043335438,-18.5925293]",0.897727311,null,1667464814382
