_id,acc,gyro,light,temp,time
6364b54c3e44d1acc3f91f7f,"[-0.007678222,0.009455565,1.000596881,1.000671029]","[0.041503925,-0.043182403,-0.04608155]",0.896136403,38.57772064,1667544383069
6364b54c3e44d1acc3f91f80,"[-0.007312011,0.009882811,0.999620318,0.999695897]","[0.010986347,-0.043182403,0.014953606]",0.895909131,38.57369232,1667544384316
6364b54c3e44d1acc3f91f81,"[-0.007861327,0.00915039,1.000718951,1.001407743]","[0.026245136,-0.027923612,-0.038452156]",0.894053042,38.49272919,1667544385564
6364b54c3e44d1acc3f91f82,"[-0.007739257,0.008601073,1.0001086,1.000175476]","[0.201721206,-0.218658477,0.083618157]",0.888787925,38.56960297,1667544386811
6364b54c3e44d1acc3f91f83,"[-0.006030273,0.010310058,1.001756549,1.001827717]","[-0.835876465,-0.500946045,0.213317871]",0.861742437,38.48464203,1667544388054
6364b54c3e44d1acc3f91f84,"[-0.002307128,-0.015202638,1.013475299,1.013591886]","[1.742858887,8.303375244,145.0268555]",0.837916672,38.35131073,1667544389303
6364b54c3e44d1acc3f91f85,"[-0.00102539,0.017573241,0.999009967,0.999165058]","[0.049133319,-0.081329376,0.053100578]",0.746022701,38.4401474,1667544390550
6364b54c3e44d1acc3f91f86,"[-0.003283691,0.01909912,1.00023067,1.000418305]","[-0.118713364,-0.195770293,0.022583]",0.829734862,38.37151337,1667544391793
6364b54c3e44d1acc3f91f87,"[-0.02434082,0.028986815,0.992845416,0.993566692]","[0.476379424,0.956268311,0.22857666]",0.793106079,38.44823456,1667544393032
6364b54c3e44d1acc3f91f88,"[-0.000720214,0.017451171,1.002916217,1.003068328]","[-0.09582518,-0.523834229,0.121765129]",0.788371205,38.43206024,1667544394273
6364b54c3e44d1acc3f91f89,"[-0.017504882,0.008723143,0.993516803,0.981121302]","[4.680175781,11.1567688,0.88470459]",0.78246212,38.4401474,1667544395520
6364b55a3e44d1acc3f91f8a,"[-0.077868655,-0.090458989,1.029954791,1.074408412]","[-2.979736328,-13.93630981,-127.2433395]",0.850871205,38.47655487,1667544396757
6364b55a3e44d1acc3f91f8b,"[0.002819825,0.001704101,1.002305865,1.002311349]","[0.22460939,-0.027923612,-0.023193367]",0.803674221,38.47249603,1667544398010
6364b55a3e44d1acc3f91f8c,"[0.150097653,-0.246220708,1.171007037,1.183924079]","[6.366271973,-44.03427124,-188.0267334]",0.888939381,38.28676605,1667544399255
6364b55a3e44d1acc3f91f8d,"[0.051953126,0.012934569,0.990587115,0.998342812]","[0.560302734,-0.699310303,-0.091857918]",0.879053056,38.44420624,1667544400504
6364b55a3e44d1acc3f91f8e,"[0.030590821,0.03460205,0.997484088,0.99855274]","[0.964660645,3.016204834,2.746276855]",0.802840889,38.5089035,1667544401752
